country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","28-01-2026 21:00:00",30.735567,76.775714,SO2,4,32,11
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","28-01-2026 21:00:00",30.751462,76.762879,PM2.5,44,89,70
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","28-01-2026 21:00:00",30.751462,76.762879,NH3,8,9,9
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","28-01-2026 21:00:00",30.719859,76.738637,NO2,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","28-01-2026 21:00:00",30.719859,76.738637,SO2,NA,NA,NA
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","28-01-2026 21:00:00",21.194815,81.314770,SO2,5,11,8
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","28-01-2026 21:00:00",21.237755,81.705301,OZONE,11,20,15
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","28-01-2026 21:00:00",21.371751,81.664929,PM10,59,157,105
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","28-01-2026 21:00:00",21.371751,81.664929,NH3,2,2,2
India,Delhi,Delhi,"Alipur, Delhi - DPCC","28-01-2026 21:00:00",28.815329,77.153010,NO2,29,58,36
India,Delhi,Delhi,"Alipur, Delhi - DPCC","28-01-2026 21:00:00",28.815329,77.153010,OZONE,8,28,21
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","28-01-2026 21:00:00",28.647622,77.3158090,NO2,46,81,57
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","28-01-2026 21:00:00",21.224231,81.408350,NH3,4,6,5
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","28-01-2026 21:00:00",22.08815,82.13737,PM2.5,65,266,143
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","28-01-2026 21:00:00",22.08815,82.13737,NO2,18,254,48
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","28-01-2026 21:00:00",22.118125,83.140608,NH3,5,5,5
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","28-01-2026 21:00:00",22.118125,83.140608,SO2,2,97,31
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","28-01-2026 21:00:00",26.11442,85.39813,SO2,6,20,10
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","28-01-2026 21:00:00",26.1403345,85.3650192,NH3,5,8,7
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","28-01-2026 21:00:00",25.592539,85.227158,PM2.5,71,82,76
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","28-01-2026 21:00:00",28.695381,77.181665,PM10,109,278,175
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","28-01-2026 21:00:00",28.4706914,77.1099364,NO2,14,49,28
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","28-01-2026 21:00:00",28.4706914,77.1099364,OZONE,6,27,17
India,Delhi,Delhi,"Bawana, Delhi - DPCC","28-01-2026 21:00:00",28.776200,77.051074,PM2.5,270,365,322
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","28-01-2026 21:00:00",28.5512005,77.2735737,NO2,11,27,18
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","28-01-2026 21:00:00",28.656756,77.227234,OZONE,6,39,24
India,Delhi,Delhi,"DTU, Delhi - CPCB","28-01-2026 21:00:00",28.7500499,77.1112615,PM10,NA,NA,NA
India,Delhi,Delhi,"DTU, Delhi - CPCB","28-01-2026 21:00:00",28.7500499,77.1112615,NH3,6,11,7
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","28-01-2026 21:00:00",25.892357,86.590325,PM10,108,177,143
